image_path,category,architecture,defect_type,severity,mean_iou_disagreement,max_iou_disagreement,mean_spearman_disagreement,max_spearman_disagreement
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_029.png,hazelnut,vit,print,0.030871332908163265,0.8024651018343952,0.8836028478392848,0.8792573682458249,1.0383106976239314
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_030.png,hazelnut,vit,print,0.030153858418367346,0.77968736853865,0.8681628510206383,0.8327561175646965,0.9856489950819978
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_031.png,hazelnut,vit,print,0.016402264030612245,0.8264795945998965,0.9162572215323147,0.9258020913959731,1.2348336304745857
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_032.png,hazelnut,vit,print,0.01931202168367347,0.833345882824767,0.8992596654784755,0.925925655201051,1.0846235065248337
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_033.png,hazelnut,vit,print,0.03784677933673469,0.8154254016208832,0.9056809508232472,0.9393316388087172,1.1762627958910479
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_034.png,hazelnut,vit,print,0.019112723214285716,0.8151745794818127,0.8916620651573717,0.8465550798176539,1.0687211555297427
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_035.png,hazelnut,vit,print,0.020487882653061226,0.8073646244642761,0.8714572640035706,0.877418091630575,1.0468927513673054
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_036.png,hazelnut,vit,print,0.02560985331632653,0.7191999359681794,0.8370125731502405,0.711999272506883,0.9200868932641187
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_001.png,screw,resnet18,manipulated_front,0.0021125637755102043,0.7250758401570169,0.8781542898341745,0.4944807934824642,0.7846472334572238
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_003.png,screw,resnet18,manipulated_front,0.0014548788265306123,0.6956494283038893,0.8035017153673252,0.674350139887934,0.8269279417009371
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_005.png,screw,resnet18,manipulated_front,0.004544005102040816,0.7314659345212714,0.9447278026439054,0.6533362228254422,1.0349023718120238
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_006.png,screw,resnet18,manipulated_front,0.0013552295918367347,0.7435170093031179,0.8467502850627138,0.6352307254648443,0.7839981298948303
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_007.png,screw,resnet18,manipulated_front,0.003128985969387755,0.7434292553402093,0.8779192030990592,0.5777635503018786,0.8212362689679413
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_008.png,screw,resnet18,manipulated_front,0.0027503188775510204,0.7673798172111965,0.964136098906713,0.7213250975048418,0.9579872940647416
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_009.png,screw,resnet18,manipulated_front,0.003587372448979592,0.6739101817517801,0.7895308165480641,0.459722829177331,0.5518336284743741
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_010.png,screw,resnet18,manipulated_front,0.0016940369897959183,0.708923938038554,0.8091367546722041,0.5714642762669141,0.7595333761200092
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_011.png,screw,resnet18,manipulated_front,0.0024115114795918366,0.6735880717355228,0.8037427737052267,0.6195579707554595,0.7718452744633078
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_012.png,screw,resnet18,manipulated_front,0.0030293367346938774,0.7838095425943089,0.8683373332589162,0.6171811150706347,0.876518932143443
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_013.png,screw,resnet18,scratch_head,0.001992984693877551,0.8041865248727592,0.992446829656132,0.7065532189407641,1.1762003449449925
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_014.png,screw,resnet18,scratch_head,0.0028698979591836736,0.7156523792925431,0.9030512876000866,0.553684131289216,0.8727975845080476
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_015.png,screw,resnet18,scratch_head,0.002072704081632653,0.7737691659264522,0.8579475047876535,0.6580677038277027,0.9156854376735148
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_016.png,screw,resnet18,scratch_head,0.0024713010204081634,0.7238033619783409,0.8550404709345106,0.5219361029885606,0.8553270718442585
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_017.png,screw,resnet18,scratch_head,0.0023915816326530613,0.7376806519178079,0.9754421424962102,0.7599662165741213,1.2492977733305286
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_018.png,screw,resnet18,scratch_head,0.00253109056122449,0.730663435972752,0.8485883424408014,0.6036654391119921,0.8627706013089284
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_019.png,screw,resnet18,scratch_head,0.0013352997448979591,0.7918077399716722,0.9664066880766682,0.6704079698215525,1.0187223893304598
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_020.png,screw,resnet18,scratch_head,0.002610809948979592,0.8051688446785704,0.9841683366733467,0.7079110223698696,1.1017139591784308
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_021.png,screw,resnet18,scratch_head,0.0022122130102040817,0.7531050262498028,0.8497844338552303,0.6192890694025236,0.9420954248910932
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_022.png,screw,resnet18,scratch_head,0.0028698979591836736,0.8278929408141443,0.9630766083665746,0.7682261648113301,1.2666549713426487
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_023.png,screw,resnet18,scratch_head,0.0034279336734693877,0.831737599101532,0.9491033481911475,0.7012962534257339,1.0543891736025648
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_024.png,screw,resnet18,scratch_head,0.0016541772959183674,0.7776795953062782,0.9684049860086492,0.5851330855848106,0.9814113010340384
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_025.png,screw,resnet18,scratch_neck,0.0024713010204081634,0.7196293457187286,0.8456314558009473,0.5520980568172056,0.7921510527208555
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_026.png,screw,resnet18,scratch_neck,0.0028300382653061226,0.7435064107879855,0.8914342083630186,0.6147547198053231,0.8739070090841446
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_027.png,screw,resnet18,scratch_neck,0.004444355867346939,0.7225722749252775,0.8335832083958021,0.4856262359073948,0.5852005639852927
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_028.png,screw,resnet18,scratch_neck,0.0027503188775510204,0.8031603253916971,0.8970244247402491,0.6447977335403563,0.9782779800686855
E:\Research\Code_Start\data\preprocessed\screw\test\def\screw_test_def_029.png,screw,resnet18,scratch_neck,0.004364636479591837,0.755304273687392,0.9007914995120894,0.633723276214242,1.0232980620381347
